,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day
39854,285,2,2013-02-05,5595,477,1,1,0,0,2013,2,5
40969,285,3,2013-02-06,4867,419,1,1,0,0,2013,2,6
42084,285,4,2013-02-07,4186,424,1,1,0,0,2013,2,7
43199,285,5,2013-02-08,4152,375,1,1,0,0,2013,2,8
44314,285,6,2013-02-09,5645,525,1,0,0,0,2013,2,9
45429,285,7,2013-02-10,0,0,0,0,0,0,2013,2,10
46544,285,1,2013-02-11,3296,365,1,0,0,0,2013,2,11
47659,285,2,2013-02-12,3541,343,1,0,0,0,2013,2,12
48774,285,3,2013-02-13,3486,367,1,0,0,0,2013,2,13
49889,285,4,2013-02-14,3590,380,1,0,0,0,2013,2,14
51004,285,5,2013-02-15,3591,357,1,0,0,0,2013,2,15
52119,285,6,2013-02-16,6003,481,1,0,0,0,2013,2,16
53234,285,7,2013-02-17,0,0,0,0,0,0,2013,2,17
54349,285,1,2013-02-18,6179,512,1,1,0,0,2013,2,18
55464,285,2,2013-02-19,4618,409,1,1,0,0,2013,2,19
56579,285,3,2013-02-20,4859,457,1,1,0,0,2013,2,20
57694,285,4,2013-02-21,3796,376,1,1,0,0,2013,2,21
58809,285,5,2013-02-22,4322,413,1,1,0,0,2013,2,22
59924,285,6,2013-02-23,4518,410,1,0,0,0,2013,2,23
61039,285,7,2013-02-24,0,0,0,0,0,0,2013,2,24
62154,285,1,2013-02-25,3426,375,1,0,0,0,2013,2,25
63269,285,2,2013-02-26,3689,363,1,0,0,0,2013,2,26
64384,285,3,2013-02-27,3506,339,1,0,0,0,2013,2,27
65499,285,4,2013-02-28,3458,351,1,0,0,0,2013,2,28
66614,285,5,2013-03-01,4219,378,1,0,0,0,2013,3,1
67729,285,6,2013-03-02,5360,501,1,0,0,0,2013,3,2
68844,285,7,2013-03-03,0,0,0,0,0,0,2013,3,3
69959,285,1,2013-03-04,6193,527,1,1,0,0,2013,3,4
71074,285,2,2013-03-05,5539,494,1,1,0,0,2013,3,5
72189,285,3,2013-03-06,5105,474,1,1,0,0,2013,3,6
73304,285,4,2013-03-07,5182,425,1,1,0,0,2013,3,7
74419,285,5,2013-03-08,4859,454,1,1,0,0,2013,3,8
75534,285,6,2013-03-09,5496,499,1,0,0,0,2013,3,9
76649,285,7,2013-03-10,0,0,0,0,0,0,2013,3,10
77764,285,1,2013-03-11,3637,371,1,0,0,0,2013,3,11
78879,285,2,2013-03-12,1967,213,1,0,0,0,2013,3,12
79994,285,3,2013-03-13,3246,336,1,0,0,0,2013,3,13
81109,285,4,2013-03-14,3180,327,1,0,0,0,2013,3,14
82224,285,5,2013-03-15,4347,410,1,0,0,0,2013,3,15
83339,285,6,2013-03-16,5888,509,1,0,0,0,2013,3,16
84454,285,7,2013-03-17,0,0,0,0,0,0,2013,3,17
85569,285,1,2013-03-18,5453,503,1,1,0,0,2013,3,18
86684,285,2,2013-03-19,5232,469,1,1,0,0,2013,3,19
87799,285,3,2013-03-20,4146,403,1,1,0,0,2013,3,20
88914,285,4,2013-03-21,4952,417,1,1,0,0,2013,3,21
90029,285,5,2013-03-22,4928,452,1,1,0,0,2013,3,22
91144,285,6,2013-03-23,5467,500,1,0,0,0,2013,3,23
92259,285,7,2013-03-24,0,0,0,0,0,0,2013,3,24
93374,285,1,2013-03-25,5364,491,1,1,0,1,2013,3,25
94489,285,2,2013-03-26,5522,464,1,1,0,1,2013,3,26
95604,285,3,2013-03-27,5142,458,1,1,0,1,2013,3,27
96719,285,4,2013-03-28,7848,649,1,1,0,1,2013,3,28
97834,285,5,2013-03-29,0,0,0,1,b,1,2013,3,29
98949,285,6,2013-03-30,6512,628,1,0,0,0,2013,3,30
100064,285,7,2013-03-31,0,0,0,0,0,0,2013,3,31
101179,285,1,2013-04-01,0,0,0,0,b,1,2013,4,1
102294,285,2,2013-04-02,5152,461,1,0,0,1,2013,4,2
103409,285,3,2013-04-03,3879,403,1,0,0,1,2013,4,3
104524,285,4,2013-04-04,3540,357,1,0,0,1,2013,4,4
105639,285,5,2013-04-05,3815,374,1,0,0,1,2013,4,5
106754,285,6,2013-04-06,5534,512,1,0,0,0,2013,4,6
107869,285,7,2013-04-07,0,0,0,0,0,0,2013,4,7
108984,285,1,2013-04-08,5702,507,1,1,0,0,2013,4,8
110099,285,2,2013-04-09,4855,447,1,1,0,0,2013,4,9
111214,285,3,2013-04-10,4203,427,1,1,0,0,2013,4,10
112329,285,4,2013-04-11,4369,405,1,1,0,0,2013,4,11
113444,285,5,2013-04-12,5085,461,1,1,0,0,2013,4,12
114559,285,6,2013-04-13,5480,490,1,0,0,0,2013,4,13
115674,285,7,2013-04-14,0,0,0,0,0,0,2013,4,14
116789,285,1,2013-04-15,3279,398,1,0,0,0,2013,4,15
117904,285,2,2013-04-16,3809,382,1,0,0,0,2013,4,16
119019,285,3,2013-04-17,3179,354,1,0,0,0,2013,4,17
120134,285,4,2013-04-18,3571,343,1,0,0,0,2013,4,18
121249,285,5,2013-04-19,3995,402,1,0,0,0,2013,4,19
122364,285,6,2013-04-20,5695,508,1,0,0,0,2013,4,20
123479,285,7,2013-04-21,0,0,0,0,0,0,2013,4,21
124594,285,1,2013-04-22,5041,517,1,1,0,0,2013,4,22
125709,285,2,2013-04-23,4596,443,1,1,0,0,2013,4,23
126824,285,3,2013-04-24,4256,419,1,1,0,0,2013,4,24
127939,285,4,2013-04-25,4006,403,1,1,0,0,2013,4,25
129054,285,5,2013-04-26,4141,384,1,1,0,0,2013,4,26
130169,285,6,2013-04-27,5485,491,1,0,0,0,2013,4,27
131284,285,7,2013-04-28,0,0,0,0,0,0,2013,4,28
132399,285,1,2013-04-29,5510,491,1,1,0,0,2013,4,29
133514,285,2,2013-04-30,6247,554,1,1,0,0,2013,4,30
134629,285,3,2013-05-01,0,0,0,1,a,0,2013,5,1
135744,285,4,2013-05-02,6166,548,1,1,0,0,2013,5,2
136859,285,5,2013-05-03,5575,502,1,1,0,0,2013,5,3
137974,285,6,2013-05-04,5783,532,1,0,0,0,2013,5,4
139089,285,7,2013-05-05,0,0,0,0,0,0,2013,5,5
140204,285,1,2013-05-06,4183,433,1,0,0,0,2013,5,6
141319,285,2,2013-05-07,3570,398,1,0,0,0,2013,5,7
142434,285,3,2013-05-08,4686,476,1,0,0,0,2013,5,8
143549,285,4,2013-05-09,0,0,0,0,a,0,2013,5,9
144664,285,5,2013-05-10,5186,491,1,0,0,0,2013,5,10
145779,285,6,2013-05-11,5184,503,1,0,0,0,2013,5,11
146894,285,7,2013-05-12,0,0,0,0,0,0,2013,5,12
148009,285,1,2013-05-13,4897,435,1,1,0,0,2013,5,13
149124,285,2,2013-05-14,5209,464,1,1,0,0,2013,5,14
150239,285,3,2013-05-15,4668,436,1,1,0,0,2013,5,15
151354,285,4,2013-05-16,4081,380,1,1,0,0,2013,5,16
152469,285,5,2013-05-17,5205,504,1,1,0,0,2013,5,17
153584,285,6,2013-05-18,5906,566,1,0,0,0,2013,5,18
154699,285,7,2013-05-19,0,0,0,0,0,0,2013,5,19
155814,285,1,2013-05-20,0,0,0,0,a,0,2013,5,20
156929,285,2,2013-05-21,4859,453,1,0,0,0,2013,5,21
158044,285,3,2013-05-22,3801,393,1,0,0,0,2013,5,22
159159,285,4,2013-05-23,3604,353,1,0,0,0,2013,5,23
160274,285,5,2013-05-24,3854,398,1,0,0,0,2013,5,24
161389,285,6,2013-05-25,5142,466,1,0,0,0,2013,5,25
162504,285,7,2013-05-26,0,0,0,0,0,0,2013,5,26
163619,285,1,2013-05-27,5328,479,1,1,0,0,2013,5,27
164734,285,2,2013-05-28,4311,421,1,1,0,0,2013,5,28
165849,285,3,2013-05-29,5109,468,1,1,0,0,2013,5,29
166964,285,4,2013-05-30,0,0,0,1,a,0,2013,5,30
168079,285,5,2013-05-31,7230,565,1,1,0,0,2013,5,31
169194,285,6,2013-06-01,7336,576,1,0,0,0,2013,6,1
170309,285,7,2013-06-02,0,0,0,0,0,0,2013,6,2
171424,285,1,2013-06-03,6532,519,1,1,0,0,2013,6,3
172539,285,2,2013-06-04,4803,475,1,1,0,0,2013,6,4
173654,285,3,2013-06-05,5767,476,1,1,0,0,2013,6,5
174769,285,4,2013-06-06,4212,399,1,1,0,0,2013,6,6
175884,285,5,2013-06-07,5835,532,1,1,0,0,2013,6,7
176999,285,6,2013-06-08,5332,498,1,0,0,0,2013,6,8
178114,285,7,2013-06-09,0,0,0,0,0,0,2013,6,9
179229,285,1,2013-06-10,4506,406,1,0,0,0,2013,6,10
180344,285,2,2013-06-11,3671,378,1,0,0,0,2013,6,11
181459,285,3,2013-06-12,3346,366,1,0,0,0,2013,6,12
182574,285,4,2013-06-13,3603,358,1,0,0,0,2013,6,13
183689,285,5,2013-06-14,3784,389,1,0,0,0,2013,6,14
184804,285,6,2013-06-15,5593,499,1,0,0,0,2013,6,15
185919,285,7,2013-06-16,0,0,0,0,0,0,2013,6,16
187034,285,1,2013-06-17,5726,480,1,1,0,0,2013,6,17
188149,285,2,2013-06-18,4214,418,1,1,0,0,2013,6,18
189264,285,3,2013-06-19,4050,394,1,1,0,0,2013,6,19
190379,285,4,2013-06-20,4837,424,1,1,0,0,2013,6,20
191494,285,5,2013-06-21,5507,469,1,1,0,0,2013,6,21
192609,285,6,2013-06-22,5201,466,1,0,0,0,2013,6,22
193724,285,7,2013-06-23,0,0,0,0,0,0,2013,6,23
194839,285,1,2013-06-24,3646,381,1,0,0,0,2013,6,24
195954,285,2,2013-06-25,3498,359,1,0,0,0,2013,6,25
197069,285,3,2013-06-26,4087,388,1,0,0,0,2013,6,26
198184,285,4,2013-06-27,3336,349,1,0,0,0,2013,6,27
199299,285,5,2013-06-28,4684,448,1,0,0,0,2013,6,28
200414,285,6,2013-06-29,5633,506,1,0,0,0,2013,6,29
201529,285,7,2013-06-30,0,0,0,0,0,0,2013,6,30
202644,285,1,2013-07-01,6687,548,1,1,0,0,2013,7,1
203759,285,2,2013-07-02,6084,527,1,1,0,0,2013,7,2
204874,285,3,2013-07-03,4654,383,1,1,0,0,2013,7,3
205989,285,4,2013-07-04,4802,447,1,1,0,0,2013,7,4
207104,285,5,2013-07-05,6180,517,1,1,0,0,2013,7,5
208219,285,6,2013-07-06,4837,485,1,0,0,1,2013,7,6
209334,285,7,2013-07-07,0,0,0,0,0,1,2013,7,7
210449,285,1,2013-07-08,4768,457,1,0,0,1,2013,7,8
211564,285,2,2013-07-09,4208,378,1,0,0,1,2013,7,9
212679,285,3,2013-07-10,3393,388,1,0,0,1,2013,7,10
213794,285,4,2013-07-11,4079,368,1,0,0,1,2013,7,11
214909,285,5,2013-07-12,3850,389,1,0,0,1,2013,7,12
216024,285,6,2013-07-13,4925,476,1,0,0,1,2013,7,13
217139,285,7,2013-07-14,0,0,0,0,0,1,2013,7,14
218254,285,1,2013-07-15,6255,526,1,1,0,1,2013,7,15
219369,285,2,2013-07-16,5017,433,1,1,0,1,2013,7,16
220484,285,3,2013-07-17,5165,469,1,1,0,1,2013,7,17
221599,285,4,2013-07-18,4630,421,1,1,0,1,2013,7,18
222714,285,5,2013-07-19,5651,451,1,1,0,1,2013,7,19
223829,285,6,2013-07-20,5518,439,1,0,0,1,2013,7,20
224944,285,7,2013-07-21,0,0,0,0,0,1,2013,7,21
226059,285,1,2013-07-22,4172,401,1,0,0,1,2013,7,22
227174,285,2,2013-07-23,3686,354,1,0,0,1,2013,7,23
228289,285,3,2013-07-24,4013,381,1,0,0,1,2013,7,24
229404,285,4,2013-07-25,3250,325,1,0,0,1,2013,7,25
230519,285,5,2013-07-26,4341,398,1,0,0,1,2013,7,26
231634,285,6,2013-07-27,4715,436,1,0,0,1,2013,7,27
232749,285,7,2013-07-28,0,0,0,0,0,1,2013,7,28
233864,285,1,2013-07-29,5620,439,1,1,0,1,2013,7,29
234979,285,2,2013-07-30,4819,432,1,1,0,1,2013,7,30
236094,285,3,2013-07-31,5026,438,1,1,0,1,2013,7,31
237209,285,4,2013-08-01,4203,355,1,1,0,1,2013,8,1
238324,285,5,2013-08-02,4655,403,1,1,0,1,2013,8,2
239439,285,6,2013-08-03,5629,482,1,0,0,1,2013,8,3
240554,285,7,2013-08-04,0,0,0,0,0,1,2013,8,4
241669,285,1,2013-08-05,3601,351,1,0,0,1,2013,8,5
242784,285,2,2013-08-06,3039,276,1,0,0,1,2013,8,6
243899,285,3,2013-08-07,3463,357,1,0,0,1,2013,8,7
245014,285,4,2013-08-08,3211,349,1,0,0,1,2013,8,8
246129,285,5,2013-08-09,3798,340,1,0,0,1,2013,8,9
247244,285,6,2013-08-10,4917,435,1,0,0,1,2013,8,10
248359,285,7,2013-08-11,0,0,0,0,0,1,2013,8,11
249474,285,1,2013-08-12,5730,511,1,1,0,1,2013,8,12
250589,285,2,2013-08-13,5229,458,1,1,0,1,2013,8,13
251704,285,3,2013-08-14,4961,450,1,1,0,1,2013,8,14
252819,285,4,2013-08-15,3994,412,1,1,0,1,2013,8,15
253934,285,5,2013-08-16,4515,452,1,1,0,1,2013,8,16
255049,285,6,2013-08-17,4609,477,1,0,0,0,2013,8,17
256164,285,7,2013-08-18,0,0,0,0,0,0,2013,8,18
257279,285,1,2013-08-19,4180,411,1,0,0,0,2013,8,19
258394,285,2,2013-08-20,3457,371,1,0,0,0,2013,8,20
259509,285,3,2013-08-21,3374,357,1,0,0,0,2013,8,21
260624,285,4,2013-08-22,4032,385,1,0,0,0,2013,8,22
261739,285,5,2013-08-23,4032,400,1,0,0,0,2013,8,23
262854,285,6,2013-08-24,4929,456,1,0,0,0,2013,8,24
263969,285,7,2013-08-25,0,0,0,0,0,0,2013,8,25
265084,285,1,2013-08-26,5483,501,1,1,0,0,2013,8,26
266199,285,2,2013-08-27,4926,410,1,1,0,0,2013,8,27
267314,285,3,2013-08-28,5156,460,1,1,0,0,2013,8,28
268429,285,4,2013-08-29,4801,434,1,1,0,0,2013,8,29
269544,285,5,2013-08-30,4817,469,1,1,0,0,2013,8,30
270659,285,6,2013-08-31,6019,496,1,0,0,0,2013,8,31
271774,285,7,2013-09-01,0,0,0,0,0,0,2013,9,1
272889,285,1,2013-09-02,3925,427,1,0,0,0,2013,9,2
274004,285,2,2013-09-03,3413,356,1,0,0,0,2013,9,3
275119,285,3,2013-09-04,3333,389,1,0,0,0,2013,9,4
276234,285,4,2013-09-05,3468,359,1,0,0,0,2013,9,5
277349,285,5,2013-09-06,3761,399,1,0,0,0,2013,9,6
278464,285,6,2013-09-07,5690,477,1,0,0,0,2013,9,7
279579,285,7,2013-09-08,0,0,0,0,0,0,2013,9,8
280694,285,1,2013-09-09,6231,530,1,1,0,0,2013,9,9
281809,285,2,2013-09-10,5077,467,1,1,0,0,2013,9,10
282924,285,3,2013-09-11,4626,411,1,1,0,0,2013,9,11
284039,285,4,2013-09-12,4630,433,1,1,0,0,2013,9,12
285154,285,5,2013-09-13,5168,467,1,1,0,0,2013,9,13
286269,285,6,2013-09-14,4961,462,1,0,0,0,2013,9,14
287384,285,7,2013-09-15,0,0,0,0,0,0,2013,9,15
288499,285,1,2013-09-16,3606,358,1,0,0,0,2013,9,16
289614,285,2,2013-09-17,3418,362,1,0,0,0,2013,9,17
290729,285,3,2013-09-18,2997,328,1,0,0,0,2013,9,18
291844,285,4,2013-09-19,3296,351,1,0,0,0,2013,9,19
292959,285,5,2013-09-20,3221,365,1,0,0,0,2013,9,20
294074,285,6,2013-09-21,5548,508,1,0,0,0,2013,9,21
295189,285,7,2013-09-22,0,0,0,0,0,0,2013,9,22
296304,285,1,2013-09-23,5523,491,1,1,0,0,2013,9,23
297419,285,2,2013-09-24,5212,466,1,1,0,0,2013,9,24
298534,285,3,2013-09-25,4342,403,1,1,0,0,2013,9,25
299649,285,4,2013-09-26,4289,401,1,1,0,0,2013,9,26
300764,285,5,2013-09-27,4648,458,1,1,0,0,2013,9,27
301879,285,6,2013-09-28,5658,555,1,0,0,0,2013,9,28
302994,285,7,2013-09-29,0,0,0,0,0,0,2013,9,29
304109,285,1,2013-09-30,4093,426,1,0,0,0,2013,9,30
305224,285,2,2013-10-01,4009,395,1,0,0,0,2013,10,1
306339,285,3,2013-10-02,4549,432,1,0,0,0,2013,10,2
307454,285,4,2013-10-03,0,0,0,0,a,0,2013,10,3
308569,285,5,2013-10-04,5185,455,1,0,0,0,2013,10,4
309684,285,6,2013-10-05,5156,458,1,0,0,0,2013,10,5
310799,285,7,2013-10-06,0,0,0,0,0,0,2013,10,6
311914,285,1,2013-10-07,6159,550,1,1,0,0,2013,10,7
313029,285,2,2013-10-08,5824,506,1,1,0,0,2013,10,8
314144,285,3,2013-10-09,4861,440,1,1,0,0,2013,10,9
315259,285,4,2013-10-10,4777,438,1,1,0,0,2013,10,10
316374,285,5,2013-10-11,4853,458,1,1,0,0,2013,10,11
317489,285,6,2013-10-12,5760,507,1,0,0,0,2013,10,12
318604,285,7,2013-10-13,0,0,0,0,0,0,2013,10,13
319719,285,1,2013-10-14,3239,352,1,0,0,1,2013,10,14
320834,285,2,2013-10-15,3748,374,1,0,0,1,2013,10,15
321949,285,3,2013-10-16,3945,381,1,0,0,1,2013,10,16
323064,285,4,2013-10-17,3036,330,1,0,0,1,2013,10,17
324179,285,5,2013-10-18,3817,383,1,0,0,1,2013,10,18
325294,285,6,2013-10-19,5133,503,1,0,0,1,2013,10,19
326409,285,7,2013-10-20,0,0,0,0,0,1,2013,10,20
327524,285,1,2013-10-21,5099,494,1,1,0,1,2013,10,21
328639,285,2,2013-10-22,4476,447,1,1,0,1,2013,10,22
329754,285,3,2013-10-23,4548,420,1,1,0,1,2013,10,23
330869,285,4,2013-10-24,4208,374,1,1,0,1,2013,10,24
331984,285,5,2013-10-25,4904,448,1,1,0,1,2013,10,25
333099,285,6,2013-10-26,5089,476,1,0,0,0,2013,10,26
334214,285,7,2013-10-27,0,0,0,0,0,0,2013,10,27
335329,285,1,2013-10-28,3845,388,1,0,0,0,2013,10,28
336444,285,2,2013-10-29,3136,341,1,0,0,0,2013,10,29
337559,285,3,2013-10-30,4355,413,1,0,0,0,2013,10,30
338674,285,4,2013-10-31,3835,407,1,0,0,0,2013,10,31
339789,285,5,2013-11-01,4057,400,1,0,0,0,2013,11,1
340904,285,6,2013-11-02,6201,536,1,0,0,0,2013,11,2
342019,285,7,2013-11-03,0,0,0,0,0,0,2013,11,3
343134,285,1,2013-11-04,5401,482,1,1,0,0,2013,11,4
344249,285,2,2013-11-05,4544,410,1,1,0,0,2013,11,5
345364,285,3,2013-11-06,5092,443,1,1,0,0,2013,11,6
346479,285,4,2013-11-07,4517,407,1,1,0,0,2013,11,7
347594,285,5,2013-11-08,5294,472,1,1,0,0,2013,11,8
348709,285,6,2013-11-09,5595,552,1,0,0,0,2013,11,9
349824,285,7,2013-11-10,0,0,0,0,0,0,2013,11,10
350939,285,1,2013-11-11,3675,399,1,0,0,0,2013,11,11
352054,285,2,2013-11-12,3637,391,1,0,0,0,2013,11,12
353169,285,3,2013-11-13,3538,360,1,0,0,0,2013,11,13
354284,285,4,2013-11-14,3539,361,1,0,0,0,2013,11,14
355399,285,5,2013-11-15,3980,406,1,0,0,0,2013,11,15
356514,285,6,2013-11-16,5513,501,1,0,0,0,2013,11,16
357629,285,7,2013-11-17,0,0,0,0,0,0,2013,11,17
358744,285,1,2013-11-18,5699,491,1,1,0,0,2013,11,18
359859,285,2,2013-11-19,4576,419,1,1,0,0,2013,11,19
360974,285,3,2013-11-20,4421,424,1,1,0,0,2013,11,20
362089,285,4,2013-11-21,4322,383,1,1,0,0,2013,11,21
363204,285,5,2013-11-22,4935,479,1,1,0,0,2013,11,22
364319,285,6,2013-11-23,6447,646,1,0,0,0,2013,11,23
365434,285,7,2013-11-24,0,0,0,0,0,0,2013,11,24
366549,285,1,2013-11-25,3808,389,1,0,0,0,2013,11,25
367664,285,2,2013-11-26,3539,368,1,0,0,0,2013,11,26
368779,285,3,2013-11-27,3672,352,1,0,0,0,2013,11,27
369894,285,4,2013-11-28,3540,370,1,0,0,0,2013,11,28
371009,285,5,2013-11-29,5521,474,1,0,0,0,2013,11,29
372124,285,6,2013-11-30,6596,567,1,0,0,0,2013,11,30
373239,285,7,2013-12-01,0,0,0,0,0,0,2013,12,1
374354,285,1,2013-12-02,5755,520,1,1,0,0,2013,12,2
375469,285,2,2013-12-03,5952,480,1,1,0,0,2013,12,3
376584,285,3,2013-12-04,5332,440,1,1,0,0,2013,12,4
377699,285,4,2013-12-05,5424,495,1,1,0,0,2013,12,5
378814,285,5,2013-12-06,5160,452,1,1,0,0,2013,12,6
379929,285,6,2013-12-07,7083,533,1,0,0,0,2013,12,7
381044,285,7,2013-12-08,0,0,0,0,0,0,2013,12,8
382159,285,1,2013-12-09,4947,498,1,0,0,0,2013,12,9
383274,285,2,2013-12-10,3698,382,1,0,0,0,2013,12,10
384389,285,3,2013-12-11,4354,430,1,0,0,0,2013,12,11
385504,285,4,2013-12-12,3711,367,1,0,0,0,2013,12,12
386619,285,5,2013-12-13,4898,447,1,0,0,0,2013,12,13
387734,285,6,2013-12-14,6127,527,1,0,0,0,2013,12,14
388849,285,7,2013-12-15,0,0,0,0,0,0,2013,12,15
389964,285,1,2013-12-16,7103,601,1,1,0,0,2013,12,16
391079,285,2,2013-12-17,5787,516,1,1,0,0,2013,12,17
392194,285,3,2013-12-18,6316,536,1,1,0,0,2013,12,18
393309,285,4,2013-12-19,5782,528,1,1,0,0,2013,12,19
394424,285,5,2013-12-20,7255,584,1,1,0,0,2013,12,20
395539,285,6,2013-12-21,7709,685,1,0,0,0,2013,12,21
396654,285,7,2013-12-22,0,0,0,0,0,0,2013,12,22
397769,285,1,2013-12-23,8619,778,1,0,0,1,2013,12,23
398884,285,2,2013-12-24,4658,443,1,0,0,1,2013,12,24
399999,285,3,2013-12-25,0,0,0,0,c,1,2013,12,25
401114,285,4,2013-12-26,0,0,0,0,c,1,2013,12,26
402229,285,5,2013-12-27,4999,485,1,0,0,1,2013,12,27
403344,285,6,2013-12-28,6147,499,1,0,0,1,2013,12,28
404459,285,7,2013-12-29,0,0,0,0,0,1,2013,12,29
405574,285,1,2013-12-30,6284,565,1,0,0,1,2013,12,30
406689,285,2,2013-12-31,3943,432,1,0,0,1,2013,12,31
407804,285,3,2014-01-01,0,0,0,0,a,1,2014,1,1
408919,285,4,2014-01-02,4443,405,1,0,0,1,2014,1,2
410034,285,5,2014-01-03,4167,418,1,0,0,1,2014,1,3
411149,285,6,2014-01-04,5370,478,1,0,0,1,2014,1,4
412264,285,7,2014-01-05,0,0,0,0,0,1,2014,1,5
413379,285,1,2014-01-06,5555,491,1,1,0,1,2014,1,6
414494,285,2,2014-01-07,5205,468,1,1,0,1,2014,1,7
415609,285,3,2014-01-08,5417,480,1,1,0,1,2014,1,8
416724,285,4,2014-01-09,4240,393,1,1,0,1,2014,1,9
417839,285,5,2014-01-10,5460,475,1,1,0,1,2014,1,10
418954,285,6,2014-01-11,5313,502,1,0,0,0,2014,1,11
420069,285,7,2014-01-12,0,0,0,0,0,0,2014,1,12
421184,285,1,2014-01-13,3529,346,1,0,0,0,2014,1,13
422299,285,2,2014-01-14,3689,393,1,0,0,0,2014,1,14
423414,285,3,2014-01-15,3677,359,1,0,0,0,2014,1,15
424529,285,4,2014-01-16,3421,356,1,0,0,0,2014,1,16
425644,285,5,2014-01-17,3639,403,1,0,0,0,2014,1,17
426759,285,6,2014-01-18,5833,519,1,0,0,0,2014,1,18
427874,285,7,2014-01-19,0,0,0,0,0,0,2014,1,19
428989,285,1,2014-01-20,6358,546,1,1,0,0,2014,1,20
430104,285,2,2014-01-21,4747,464,1,1,0,0,2014,1,21
431219,285,3,2014-01-22,4950,460,1,1,0,0,2014,1,22
432334,285,4,2014-01-23,4789,411,1,1,0,0,2014,1,23
433449,285,5,2014-01-24,5218,464,1,1,0,0,2014,1,24
434564,285,6,2014-01-25,6240,539,1,0,0,0,2014,1,25
435679,285,7,2014-01-26,0,0,0,0,0,0,2014,1,26
436794,285,1,2014-01-27,4667,435,1,0,0,0,2014,1,27
437909,285,2,2014-01-28,3825,389,1,0,0,0,2014,1,28
439024,285,3,2014-01-29,4058,382,1,0,0,0,2014,1,29
440139,285,4,2014-01-30,3765,391,1,0,0,0,2014,1,30
441254,285,5,2014-01-31,4429,416,1,0,0,0,2014,1,31
442369,285,6,2014-02-01,6256,532,1,0,0,0,2014,2,1
443484,285,7,2014-02-02,0,0,0,0,0,0,2014,2,2
444599,285,1,2014-02-03,5954,498,1,1,0,0,2014,2,3
445714,285,2,2014-02-04,5248,464,1,1,0,0,2014,2,4
446829,285,3,2014-02-05,5104,421,1,1,0,0,2014,2,5
447944,285,4,2014-02-06,4806,464,1,1,0,0,2014,2,6
449059,285,5,2014-02-07,5410,471,1,1,0,0,2014,2,7
450174,285,6,2014-02-08,5358,517,1,0,0,0,2014,2,8
451289,285,7,2014-02-09,0,0,0,0,0,0,2014,2,9
452404,285,1,2014-02-10,4434,445,1,0,0,0,2014,2,10
453519,285,2,2014-02-11,3941,391,1,0,0,0,2014,2,11
454634,285,3,2014-02-12,4387,405,1,0,0,0,2014,2,12
455749,285,4,2014-02-13,3194,340,1,0,0,0,2014,2,13
456864,285,5,2014-02-14,4193,443,1,0,0,0,2014,2,14
457979,285,6,2014-02-15,5650,522,1,0,0,0,2014,2,15
459094,285,7,2014-02-16,0,0,0,0,0,0,2014,2,16
460209,285,1,2014-02-17,6538,542,1,1,0,0,2014,2,17
461324,285,2,2014-02-18,5229,453,1,1,0,0,2014,2,18
462439,285,3,2014-02-19,5637,496,1,1,0,0,2014,2,19
463554,285,4,2014-02-20,4277,377,1,1,0,0,2014,2,20
